Country,Ministers,Members of parliament ,Regional assemblies,Companies executive boards,Central bank boards ,Research organisations,Sport organisations
Belgium,m,3180426.412,2569113.604,2544757.883,3614983.16,3382440.384,2568540.667,3779233.012
Bulgaria,m,2041133.616,2298189.819,2221738.713,2490603.041,2317745.247,1651319.769,2372904.877
Czechia,m,3640252.487,3385918.531,3387161.604,3657027.391,3682234.635,2906246.933,3852553.85
Denmark,m,1350744.421,1322420.724,1385311.987,1746775.14,1472094.218,1345347.259,1770431.771
Germany,m,21235402.19,21996148.52,22244728.32,27210802.35,29560922.52,20814123.76,27537813.89
Estonia,m,428093.4339,389604.4926,346715.0312,448414.5066,410264.5873,492087.25,440535.2524
Ireland,m,1365744.37,1359899.822,1335079.008,1490143.991,1376197.4,821770.5833,1377674.213
Greece,m,3876561.063,3636350.216,3549001.696,4064356.216,4152404.147,3898663.037,4016389.519
Spain,m,11843835.66,11914121.75,10478436.58,16298940.4,14189274.81,10197991.81,15952572.9
France,m,15449390.93,19005785.47,12384026.91,19105357.64,17187767.15,15138369.05,18825920.49
Croatia,m,1346999.411,1263488.717,1257142.957,1376117.646,1552270.922,1178939.94,1530720.407
Italy,m,18957616.81,18513532.7,20397298.58,20976990.59,21718624.78,7074207.6,21640508.48
Cyprus,m,274579.3481,266357.0975,248438.4411,286802.9863,295917.9911,230158.4375,294602.8
Latvia,m,565178.2465,611502.5068,593198.8231,582000.3556,590355.3025,488660.4015,659602.0438
Lithuania,m,923467.7784,882599.5638,866021.1035,964051.3065,960303.7795,762889.4137,1006944.196
Luxembourg,m,150509.9411,151966.797,156359.934,186475.2888,186317.9022,88877.11111,166349.6372
Hungary,m,3581394.13,3452098.66,3377494.731,3417173.945,3165136.176,3809204.583,3449279.741
Malta,m,144189.0227,148699.5705,129659.0956,160860.1773,135624.4874,140382.4231,151685.9429
Netherlands,m,4259022.006,4024610.267,4242035.059,5319973.171,5445545.67,4290300.944,4785335.669
Austria,m,2221453.749,2313157.547,2270615.664,2931733.178,3263622.535,2301429.244,2850346.187
Poland,m,11769014.95,11602744.25,11415479.8,12802692.81,11917306.53,11591320.92,14287261.51
Portugal,m,3336562.495,2874837.021,3116130.362,3735662.746,3739366.311,2686319.278,3497283.588
Romania,m,6583214.012,7038139.536,6705722.311,6909324.066,6905310.411,2101695.533,7042915.883
Slovenia,m,593310.4165,676133.2504,622858.0646,679525.863,588108.5715,470905.0952,774966.3322
Slovakia,m,1824343.186,1708519.873,1769545.087,1772149.913,1848990.826,1736550.625,1873369.765
Finland,m,1097094.945,1230573.539,1185761.877,1551011.156,1443671.538,1107865.111,1629213.399
Sweden,m,1913728.521,2009648.301,1932367.763,2703781.242,2574686.085,1480281.723,2118138.967
United m,Kingdom,18531314.19,18703244.69,16444282.02,19743104.66,20321266.62,14504047.59,18917719.48
EU-28,m,148200646,147256813.9,143980743.6,164837413.1,161423789,118602100.7,170599191.6
Belgium,w,1163886.43,1810424.404,1836183.555,704289.5827,950231.9767,1811030.356,530575.2995
Bulgaria,w,1003625.916,726589.1451,808982.6738,519219.9516,705513.7059,1423739.37,646066.605
Czechia,w,542806.0929,812691.2062,811372.1254,525005.4929,498256.9613,1321692.15,317523.6396
Denmark,w,814266.4661,843609.3653,778455.0186,403984.9504,688550.0094,819857.8395,379477.0571
Germany,w,12329236.26,11520536.15,11256287.08,5977175.697,3478915.295,12777070.05,5629550.927
Estonia,w,76649.23218,122749.7459,174121.0265,52309.46448,98003.91119,0,61746.91984
Ireland,w,287842.7829,293898.6876,319617.0988,158944.4889,277011.7386,851488.3333,275481.5196
Greece,w,540593.7946,795496.836,888187.9182,341312.3878,247879.1161,517139.9815,392212.9073
Spain,w,6825900.038,6752232.134,8256995.107,2156438.528,4367610.402,8550933.444,2519471.461
France,w,9367687.05,5457312.638,12738157.04,5347829.722,7456284.424,9709665.982,5655080.188
Croatia,w,335691.0598,428054.3842,435072.8326,303486.1193,108659.5486,521565.8333,132494.5464
Italy,w,5042529.899,5526906.058,3472224.84,2839936.983,2031013.831,18004128.8,2116217.671
Cyprus,w,34908.91719,43795.68452,63162.51461,21697.37274,11845.6994,82919.89583,13267.18333
Latvia,w,251484.7528,194016.1433,216723.1923,230615.7046,220250.7862,346410.697,134345.1741
Lithuania,w,245318.5799,295249.9367,315504.9204,195735.0431,200313.6406,441507.6161,143330.0087
Luxembourg,w,50701.48665,49208.16991,44705.08565,13836.03188,13997.35735,113876.8056,34465.36947
Hungary,w,259909.9021,407423.6465,492539.5833,447269.401,734820.3502,0,410639.7638
Malta,w,22250.81526,17629.49745,37137.56844,5170.250347,31025.67852,26150.89744,14569.78571
Netherlands,w,2260121.85,2503547.661,2277762.014,1158372.858,1027971.593,2227640.111,1713569.316
Austria,w,1159094.477,1060424.502,1106198.033,394859.4581,37758.49468,1073043.733,482428.9223
Poland,w,3175558.806,3357782.262,3563013.715,2042705.231,3013039.462,3370301.598,415700.3297
Portugal,w,780261.9496,1300190.195,1028480.639,330853.1467,326682.7289,1512471.528,599281.1714
Romania,w,1400468.045,909683.8619,1268303.257,1048652.972,1052982.996,6235233.889,904531.0284
Slovenia,w,240870.563,154423.9708,210030.1127,150882.9209,246300.005,368631.5,51266.63245
Slovakia,w,280756.6483,406059.0154,340039.4585,337221.452,254091.8292,375734.2083,227717.702
Finland,w,1038034.318,896673.2421,944131.2247,557312.4122,670990.8934,1026628.128,474491.9918
Sweden,w,1810939.565,1712633.012,1791836.523,1001227.952,1133535.385,2255171.825,1601442.771
United w,Kingdom,5718221.308,5535741.339,7933311.51,4432076.697,3818439.338,9992596.626,5308106.611
EU-28,w,52881873.12,53896142.34,57416702.11,35003523.12,38671902.04,84689324.1,28811749.65